Time,channel,V RMS,C RMS,V MOM,C MOM,V FUND,C FUND,V PERIOD,C PHASE SH,V SAG TIME,V SWELL TIME,C SWELL TIME,EN_ACT,EN_REACT,EN_APP,POW_ACT,POW_REACT,POW_APP,AHACC
127,2,35,834,22,150,-27,-112,283,11792,0,0,0,0,0,0,-3,-3,35,0
128,1,35,421,-69,143,13,223,198,9488,0,0,0,0,0,0,0,-2,17,0
128,2,35,834,44,195,23,-109,445,12216,0,0,0,0,0,0,-4,-4,39,0
129,1,35,421,14,84,15,136,246,12968,0,0,0,0,0,0,-3,-3,17,0
129,2,35,834,56,-134,0,-65,191,11616,0,0,0,0,0,0,-3,-2,35,0
130,1,35,421,73,45,2,88,71,13880,0,0,0,0,0,0,-2,-2,17,0
130,2,35,834,75,-74,11,-42,339,12792,0,0,0,0,0,0,-4,-3,35,0
131,1,35,419,-39,-26,20,17,25,11248,0,0,0,0,0,0,0,-2,17,0
131,2,35,834,23,68,4,51,588,13832,0,0,0,0,0,0,-3,0,37,0
132,1,35,421,110,-26,25,3,327,13232,0,0,0,0,0,0,0,-2,17,0
132,2,35,834,0,154,6,80,134,12656,0,0,0,0,0,0,-2,-2,37,0
133,1,35,421,-33,-8,25,-99,133,8328,0,0,0,0,0,0,-2,0,20,0
133,2,35,834,78,-195,6,185,423,8864,0,0,0,0,0,0,-2,-2,35,0
134,1,35,423,16,-14,-34,-116,79,14344,0,0,0,0,0,0,-3,-2,17,0
134,2,35,834,50,-140,-25,225,513,13224,0,0,0,0,0,0,-2,0,35,0
135,1,35,421,17,-41,3,-187,317,17440,0,0,0,0,0,0,1,-3,20,0
135,2,35,834,-39,-23,6,-185,522,9984,0,0,0,0,0,0,-4,-3,37,0
136,1,35,421,-29,-44,5,-224,247,9184,0,0,0,0,0,0,-3,-2,17,0
136,2,35,834,-36,66,3,-113,35,13768,0,0,0,0,0,0,0,-3,35,0
137,1,35,423,-73,-31,-35,221,10,11696,0,0,0,0,0,0,0,-2,17,0
137,2,35,831,-86,184,-43,2,291,10520,0,0,0,0,0,0,-2,-3,35,0
138,1,35,421,-57,-10,12,177,195,14336,0,0,0,0,0,0,-2,-2,17,0
138,2,35,831,-66,-226,-33,83,296,15776,0,0,0,0,0,0,0,-3,35,0
139,1,35,421,84,-61,9,124,423,9960,0,0,0,0,0,0,-3,-3,17,0
139,2,35,832,16,-157,1,223,84,10152,0,0,0,0,0,0,0,-2,35,0
140,1,35,421,93,-21,14,74,1,9760,0,0,0,0,0,0,-3,-3,17,0
140,2,35,834,8,-55,22,-138,274,11136,0,0,0,0,0,0,-3,-2,35,0
141,1,35,421,46,-15,10,44,227,12888,0,0,0,0,0,0,-2,-3,17,0
141,2,35,834,47,28,-30,-50,169,11184,0,0,0,0,0,0,-2,-2,35,0
142,1,35,423,28,35,9,3,878,10952,0,0,0,0,0,0,-3,-3,17,0
142,2,35,834,-33,99,9,62,594,10336,0,0,0,0,0,0,0,-2,35,0
143,1,35,421,-85,90,21,-10,376,15624,0,0,0,0,0,0,-3,-3,20,0
143,2,35,834,39,96,-26,160,449,10128,0,0,0,0,0,0,-3,-3,35,0
144,1,35,421,38,124,-30,-33,1176,8704,0,0,0,0,0,0,-2,-3,17,0
144,2,35,834,3,114,-33,-209,186,9136,0,0,0,0,0,0,-5,-2,39,0
145,1,35,421,73,158,10,-53,13,13904,0,0,0,0,0,0,-2,-4,17,0
145,2,35,834,47,133,5,-68,112,13712,0,0,0,0,0,0,1,1,35,0
146,1,35,421,20,244,0,-57,497,10792,0,0,0,0,0,0,-2,-2,17,0
